Year;Total_isolates_validert;Total_isolates;Gram_positives;Staphylococcus_aureus;Coagulase_negative_staphylococci;Streptococcus_pneumoniae;Streptococcus_pyogenes;Streptococcus_agalactiae;Beta_haemolytic_streptococci_group_C_G;Viridans_and_non_haemolytic_streptococci;Enterococcus_faecalis;Enterococcus_faecium;Other_Gram_positive;Gram_negatives;Escherichia_coli;Klebsiella_spp;Enterobacter_spp;Proteus_spp;Other_Enterobacteriaceae;Pseudomonas_spp;Acinetobacter_spp;Non_fermenters;Other_Gram_negatives_aerobic_bacteria;Other_Gram_negatives_aerobic_bacteria_old;Bacteroides_spp;Other_anaerobic_bacteria;Yeasts;Population_size;Mean_age;Bed_days;Unique_patients;Hospital_stays;Diagnoses_per_stay;Total_blood_cultures;Blood_culture_positivity;Incidence_rate;Prednisolone;Cancer_incidence;Gastrointestinal_cancer_incidence;Haematopoietic_cancer_incidence;Age_0_9;Age_10_19;Age_20_29;Age_30_39;Age_40_49;Age_50_59;Age_60_69;Age_70_79;Age_80_89;Age_90;Age_70_pct;Blood_cultures_HMN;Catchment_area_HMN;Catchment_area_Tromsø;Blood_cultures_Levanger;Blood_cultures_Molde;Blood_cultures_Trondheim;Blood_cultures_Ålesund;Blood_cultures_Tromsø;Blood_cultures_Tromsø_75;Blood_cultures_Tromsø_50;Blood_cultures_Rikshospitalet;Blood_cultures_Ullevål;
2005;10964;10964;3650;1128;2230;1027;239;177;93;419;444;123;335;3855;2456;596;171;206;197;229;37;266;199;236;202;238;218;4606363;38,7;4126986;;958586;2;187966;0,0583;238,0;113891;25494;5357;2098;596084;602277;564159;696524;646327;599656;394616;293565;183432;29723;0,0637;28491;665033;123190;4525;5021;12783;6162;7346;5510;3673;4113;11468;
2006;11589;11589;3634;1188;2630;917;148;192;134;430;499;126;398;3954;2504;626;199;206;220;199;38;237;231;269;215;274;215;4640219;38,8;4132747;;988296;2;198275;0,0584;249,8;121125;26055;5385;2239;593491;612495;562819;692534;654178;603311;416223;289292;185084;30792;0,0623;30173;669593;123648;5101;5121;13701;6250;7444;5583;3722;4380;11868;
2007;12551;12551;3889;1273;2714;976;144;214;110;459;542;171;427;4462;2795;757;222;211;280;197;47;244;211;258;274;309;218;4681134;38,9;4008852;;985981;2;202610;0,0619;268,1;128991;27066;5520;2236;591979;622222;567335;686812;662868;602261;442893;286602;186299;31863;0,0612;28621;674152;124107;4101;4861;13584;6075;11859;8894;5930;4646;12177;
2008;11753;11753;3611;1245;2501;778;150;183;167;454;468;166;403;4225;2680;682;220;180;247;216;53;269;195;248;265;292;208;4737171;39,0;3890114;497950;986184;2;214656;0,0548;248,1;136463;27509;5661;2332;592764;630182;580932;683936;674780;603915;465854;286214;185322;33272;0,0604;29255;678712;124566;4087;5053;13549;6566;14288;10716;7144;4567;11357;
2009;11752;11752;3529;1244;2619;730;156;162;129;416;536;156;313;4319;2701;768;221;178;228;223;50;273;174;224;257;272;219;4799252;39,0;3882900;496983;1002717;2;199734;0,0588;244,9;143528;28173;5787;2453;597397;634033;597320;681684;688261;608084;485630;287212;184972;34659;0,0598;26686;683272;125025;3543;4901;12434;5808;13907;10430;6954;5594;11696;
2010;12706;12706;4092;1447;2451;727;160;193;169;595;586;215;357;4775;2961;869;209;216;295;225;49;274;243;292;258;286;195;4858199;39,1;3816211;479291;860190;2;211832;0,0600;261,5;152241;28586;5958;2569;602401;637356;612617;677461;700695;613814;503243;290590;184367;35655;0,0598;27548;687831;125483;4236;5082;12548;5682;15830;11873;7915;5750;12147;
2011;13304;13304;4047;1467;2739;703;182;213;162;541;539;240;390;4967;3188;814;240;225;298;202;49;251;245;294;297;377;193;4920305;39,2;3771439;491237;866707;2;232997;0,0571;270,4;159532;30227;6010;2665;606605;638728;632126;676514;711974;619707;519175;294323;182902;38251;0,0598;30331;692391;125942;4966;5300;13446;6619;16841;12631;8421;6149;12471;
2012;12604;12604;3617;1428;2831;531;122;205;153;483;509;186;386;4705;3006;824;239;169;257;210;35;245;214;249;286;348;182;4985870;39,2;3648709;495206;835349;2;249853;0,0504;252,8;167802;30525;6252;2709;611836;636729;652787;677174;725007;628176;535253;297325;181642;39941;0,0596;31743;696951;126401;4979;5615;14756;6393;19034;14276;9517;6238;13053;
2013;14113;14113;4406;1629;2464;588;177;240;171;770;584;247;463;5495;3458;958;275;240;330;234;48;282;244;292;336;452;205;5051275;39,3;3583639;493567;837543;2;251082;0,0562;279,4;168964;31009;6457;2695;618917;634536;670480;680536;736270;635276;548618;305057;180524;41061;0,0604;32140;701511;126859;5019;5547;15059;6515;18071;13553;9036;6564;13854;
2014;15379;15379;4375;1693;3142;550;162;240;185;705;589;251;541;5970;3739;1075;292;246;340;278;52;330;256;308;346;475;222;5109056;39,4;3551604;496906;847175;2;270277;0,0569;301,0;174054;32334;6616;2738;622662;633988;684764;684391;743034;642374;559260;317823;178365;42395;0,0622;33632;706070;127318;4944;5764;15805;7119;20911;15683;10456;6362;13644;
2015;16115;16115;4491;1781;3418;518;207;271;249;744;496;225;578;6212;3999;1118;279;258;288;270;52;322;285;337;350;508;221;5165802;39,6;3536166;503614;858940;2;298501;0,0540;312,0;177410;33507;6900;3081;624833;634066;697397;688393;746999;652318;565196;336163;176933;43504;0,0651;36409;709504;126939;5520;5789;16946;8154;11924;11924;11924;6427;14240;
2016;16626;16626;4652;1752;3434;563;176;270;221;831;598;241;544;6441;4153;1178;281;274;295;260;59;319;333;392;309;636;218;5213985;39,7;3443545;505113;868602;2;323231;0,0514;318,9;181255;34160;6910;3135;626576;634203;705341;693667;746287;661727;570311;355848;176079;43946;0,0682;39942;715059;127744;8333;6093;17272;8244;12306;12306;12306;6939;15839;
